infection rate, recovery rate, number of days until maximum infection
0.0,0.0,0
0.0,0.1111111111111111,0
0.0,0.2222222222222222,0
0.0,0.3333333333333333,0
0.0,0.4444444444444444,0
0.0,0.5555555555555556,0
0.0,0.6666666666666666,0
0.0,0.7777777777777777,0
0.0,0.8888888888888888,0
0.0,1.0,0
0.1111111111111111,0.0,364
0.1111111111111111,0.1111111111111111,0
0.1111111111111111,0.2222222222222222,0
0.1111111111111111,0.3333333333333333,0
0.1111111111111111,0.4444444444444444,0
0.1111111111111111,0.5555555555555556,0
0.1111111111111111,0.6666666666666666,0
0.1111111111111111,0.7777777777777777,0
0.1111111111111111,0.8888888888888888,0
0.1111111111111111,1.0,0
0.2222222222222222,0.0,224
0.2222222222222222,0.1111111111111111,128
0.2222222222222222,0.2222222222222222,0
0.2222222222222222,0.3333333333333333,0
0.2222222222222222,0.4444444444444444,0
0.2222222222222222,0.5555555555555556,0
0.2222222222222222,0.6666666666666666,0
0.2222222222222222,0.7777777777777777,0
0.2222222222222222,0.8888888888888888,0
0.2222222222222222,1.0,0
0.3333333333333333,0.0,165
0.3333333333333333,0.1111111111111111,68
0.3333333333333333,0.2222222222222222,119
0.3333333333333333,0.3333333333333333,0
0.3333333333333333,0.4444444444444444,0
0.3333333333333333,0.5555555555555556,0
0.3333333333333333,0.6666666666666666,0
0.3333333333333333,0.7777777777777777,0
0.3333333333333333,0.8888888888888888,0
0.3333333333333333,1.0,0
0.4444444444444444,0.0,142
0.4444444444444444,0.1111111111111111,47
0.4444444444444444,0.2222222222222222,64
0.4444444444444444,0.3333333333333333,113
0.4444444444444444,0.4444444444444444,0
0.4444444444444444,0.5555555555555556,0
0.4444444444444444,0.6666666666666666,0
0.4444444444444444,0.7777777777777777,0
0.4444444444444444,0.8888888888888888,0
0.4444444444444444,1.0,0
0.5555555555555556,0.0,94
0.5555555555555556,0.1111111111111111,36
0.5555555555555556,0.2222222222222222,44
0.5555555555555556,0.3333333333333333,61
0.5555555555555556,0.4444444444444444,108
0.5555555555555556,0.5555555555555556,0
0.5555555555555556,0.6666666666666666,0
0.5555555555555556,0.7777777777777777,0
0.5555555555555556,0.8888888888888888,0
0.5555555555555556,1.0,0
0.6666666666666666,0.0,80
0.6666666666666666,0.1111111111111111,29
0.6666666666666666,0.2222222222222222,34
0.6666666666666666,0.3333333333333333,43
0.6666666666666666,0.4444444444444444,59
0.6666666666666666,0.5555555555555556,105
0.6666666666666666,0.6666666666666666,0
0.6666666666666666,0.7777777777777777,0
0.6666666666666666,0.8888888888888888,0
0.6666666666666666,1.0,0
0.7777777777777777,0.0,73
0.7777777777777777,0.1111111111111111,25
0.7777777777777777,0.2222222222222222,28
0.7777777777777777,0.3333333333333333,33
0.7777777777777777,0.4444444444444444,41
0.7777777777777777,0.5555555555555556,58
0.7777777777777777,0.6666666666666666,102
0.7777777777777777,0.7777777777777777,0
0.7777777777777777,0.8888888888888888,0
0.7777777777777777,1.0,0
0.8888888888888888,0.0,57
0.8888888888888888,0.1111111111111111,21
0.8888888888888888,0.2222222222222222,23
0.8888888888888888,0.3333333333333333,27
0.8888888888888888,0.4444444444444444,32
0.8888888888888888,0.5555555555555556,40
0.8888888888888888,0.6666666666666666,56
0.8888888888888888,0.7777777777777777,99
0.8888888888888888,0.8888888888888888,0
0.8888888888888888,1.0,0
1.0,0.0,55
1.0,0.1111111111111111,19
1.0,0.2222222222222222,20
1.0,0.3333333333333333,23
1.0,0.4444444444444444,26
1.0,0.5555555555555556,31
1.0,0.6666666666666666,40
1.0,0.7777777777777777,55
1.0,0.8888888888888888,97
1.0,1.0,0
