k1 (Infection Rate), unknown, Maximum Day
2.0,0.0,26
2.0,0.1111111111111111,9
2.0,0.2222222222222222,9
2.0,0.3333333333333333,10
2.0,0.4444444444444444,10
2.0,0.5555555555555556,11
2.0,0.6666666666666666,11
2.0,0.7777777777777777,12
2.0,0.8888888888888888,13
2.0,1.0,14
2.111111111111111,0.0,25
2.111111111111111,0.1111111111111111,9
2.111111111111111,0.2222222222222222,9
2.111111111111111,0.3333333333333333,9
2.111111111111111,0.4444444444444444,10
2.111111111111111,0.5555555555555556,10
2.111111111111111,0.6666666666666666,11
2.111111111111111,0.7777777777777777,11
2.111111111111111,0.8888888888888888,12
2.111111111111111,1.0,13
2.2222222222222223,0.0,24
2.2222222222222223,0.1111111111111111,8
2.2222222222222223,0.2222222222222222,8
2.2222222222222223,0.3333333333333333,9
2.2222222222222223,0.4444444444444444,9
2.2222222222222223,0.5555555555555556,9
2.2222222222222223,0.6666666666666666,10
2.2222222222222223,0.7777777777777777,10
2.2222222222222223,0.8888888888888888,11
2.2222222222222223,1.0,12
2.3333333333333335,0.0,28
2.3333333333333335,0.1111111111111111,8
2.3333333333333335,0.2222222222222222,8
2.3333333333333335,0.3333333333333333,8
2.3333333333333335,0.4444444444444444,9
2.3333333333333335,0.5555555555555556,9
2.3333333333333335,0.6666666666666666,9
2.3333333333333335,0.7777777777777777,10
2.3333333333333335,0.8888888888888888,10
2.3333333333333335,1.0,11
2.4444444444444446,0.0,21
2.4444444444444446,0.1111111111111111,8
2.4444444444444446,0.2222222222222222,8
2.4444444444444446,0.3333333333333333,8
2.4444444444444446,0.4444444444444444,8
2.4444444444444446,0.5555555555555556,8
2.4444444444444446,0.6666666666666666,9
2.4444444444444446,0.7777777777777777,9
2.4444444444444446,0.8888888888888888,10
2.4444444444444446,1.0,10
2.5555555555555554,0.0,20
2.5555555555555554,0.1111111111111111,7
2.5555555555555554,0.2222222222222222,7
2.5555555555555554,0.3333333333333333,7
2.5555555555555554,0.4444444444444444,8
2.5555555555555554,0.5555555555555556,8
2.5555555555555554,0.6666666666666666,8
2.5555555555555554,0.7777777777777777,9
2.5555555555555554,0.8888888888888888,9
2.5555555555555554,1.0,10
2.6666666666666665,0.0,22
2.6666666666666665,0.1111111111111111,7
2.6666666666666665,0.2222222222222222,7
2.6666666666666665,0.3333333333333333,7
2.6666666666666665,0.4444444444444444,7
2.6666666666666665,0.5555555555555556,8
2.6666666666666665,0.6666666666666666,8
2.6666666666666665,0.7777777777777777,8
2.6666666666666665,0.8888888888888888,9
2.6666666666666665,1.0,9
2.7777777777777777,0.0,21
2.7777777777777777,0.1111111111111111,7
2.7777777777777777,0.2222222222222222,7
2.7777777777777777,0.3333333333333333,7
2.7777777777777777,0.4444444444444444,7
2.7777777777777777,0.5555555555555556,7
2.7777777777777777,0.6666666666666666,7
2.7777777777777777,0.7777777777777777,8
2.7777777777777777,0.8888888888888888,8
2.7777777777777777,1.0,8
2.888888888888889,0.0,17
2.888888888888889,0.1111111111111111,6
2.888888888888889,0.2222222222222222,6
2.888888888888889,0.3333333333333333,7
2.888888888888889,0.4444444444444444,7
2.888888888888889,0.5555555555555556,7
2.888888888888889,0.6666666666666666,7
2.888888888888889,0.7777777777777777,7
2.888888888888889,0.8888888888888888,8
2.888888888888889,1.0,8
3.0,0.0,19
3.0,0.1111111111111111,6
3.0,0.2222222222222222,6
3.0,0.3333333333333333,6
3.0,0.4444444444444444,6
3.0,0.5555555555555556,7
3.0,0.6666666666666666,7
3.0,0.7777777777777777,7
3.0,0.8888888888888888,7
3.0,1.0,8
